Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
Plk1,0.2323232369617383,0.22923444929204248,-0.06369616020058683,-0.06089581762112732,0.2899858059052419,0.22361140918848355,0.2733104311578216,-0.2760685178393009,0.26768303695528955,0.1665855838339497,0.05753324052310377,0.2787304844715308,0.25110381345056765,0.06861042946834714,0.06619194776851162,0.1772915410363727,-0.015587853986114753,-0.27028490752215845,-0.2176429616127762,-0.22433414043583536,-0.0133269754565457,0.2643769700118713,0.25396627502883645,0.27222955838219287,0.2256788665879575,0.08611837932912898,-0.12954465044740182,0.1378071672456059,-0.2760685178393009,-0.027608218319873406,-0.01722278339076245,-0.12710582051967792,0.09296574284779775,-0.17474431725352255,0.12230714278477886,0.14656227550934303,0.12041813147891485,0.08938447341154959,0.0464836274056559,0.15156623883361695,-0.3144188230410092,-0.31562626532717064,-0.326872300669264,0.0059706861249136664,-0.25524003957665065,-0.25524003957665065,-0.2506721749094592,0.25016688763405714,0.2863575097616631,-0.2786030638740863,-0.2786030638740863,-0.3301211407923154,0.21511798407453334
pAPC,0.3519263034369182,0.3326875836175905,0.4255673517826228,-0.18173574091025355,0.38257192320237376,0.33711036577024484,0.385087703827395,-0.23115061949401414,0.30790336913343413,0.3366707132285761,-0.4391001803662964,-0.0979874220992526,0.2896668488990376,0.37581160840506556,0.22368755688228217,0.29240718969724055,-0.09977954189636146,-0.38332073140530554,-0.25392561662629576,-0.26251862711860907,0.26506211576976124,0.3600002641882709,0.29171262573402024,0.22723673709328293,0.2637936253031715,-0.4377249016033491,0.37874973898573516,0.13499224543248955,-0.23115061949401414,-0.22087913554961275,-0.1042315008290545,-0.39177806643391433,-0.28000602966490806,-0.25152673167332146,-0.5081445010219222,0.3086179618870265,-0.5059470745807892,-0.4313181268778483,-0.3836198551840984,0.21539022011927825,-0.24551992188923735,-0.22713341774799095,-0.2440538286899392,0.4656039170309646,-0.21486439031947535,-0.21486439031947535,-0.10167804863694711,0.19439148655766234,0.21393069498756073,-0.23333589246683517,-0.23333589246683517,-0.23473184952880938,0.3310874934682001
PAK1,0.8,0.8,0,0,0.9,0.8,0.9,0,0.9,0,0,0,0.8,0,0,0.8,0,-0.8,-0.9,-0.8,0,0.8,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
p27Kip1,0.37646023997044903,0.2852448443890964,0.4454846215166105,-0.2962952228112893,0.31873031758306747,0.4950224600150571,0.35476749514840544,-0.15687691116486083,0.02343124982610098,0.7180811232187276,-0.5634846360396616,-0.3379151708159309,-0.006831601999905068,0.6191115371057598,0.6807900438339759,0.5217863083581356,-0.5501675814702546,-0.3611345795248103,0.03628455514044388,0.039505956750042356,0.3975220469529754,0.18053897431162938,-0.014804945188213774,0.15180853365346456,-0.04688436002624931,-0.6648408360300728,-0.08650881750079564,-0.2950579449355325,-0.15687691116486083,-0.7028203604432401,-0.6025339877860586,-0.4121313505110722,-0.6414550537923652,-0.3329296820667216,-0.5025623333912795,0.4591237266097087,-0.5081340992145967,-0.6392210481643821,-0.6245459504423213,0.17301408922583728,-0.16099679589461105,-0.15010519501537464,-0.15901104743267744,0.4609939119426583,-0.1478554607303487,-0.1478554607303487,-0.09991093792197231,-0.03513671154478879,-0.024042338479066505,-0.16090995264846858,-0.16090995264846858,-0.15544267053701016,0.5205196331856327
p21,-0.6240601081988646,-0.6900997166800881,0.46708677490199096,-0.2500303612554327,-0.5719604129955723,-0.4608597977274087,-0.6316120689947695,-0.047603537708406654,-0.7873216712949505,0.535636467292755,-0.4870449909840973,-0.16900977074775034,-0.7273573684185861,0.5378913913941645,0.40133506534733066,-0.17181951377495447,-0.36326561712808464,0.6268329326626214,0.8494843496154608,0.657941748538739,0.20389429909542742,-0.7397614087250662,-0.7312732294259432,0.04272362061743202,-0.6606730259671436,-0.4852462957677762,-0.06336597462391226,-0.08449820049221693,-0.047603537708406654,-0.4180482760963059,-0.6152661868083376,-0.3327657272752009,-0.4492260864094189,-0.3449392311488122,-0.43192740212674846,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.4401563347416307,0.17404204965667605,-0.04429582588722536,-0.028030303030303027,-0.037497114782207276,0.3890285608919253,-0.052449149147868836,-0.052449149147868836,-1.9471807715691047e-4,0.0010448549462781,0.006983921212078549,-0.050917742526770025,-0.050917742526770025,-0.02847222222222222,-0.41904451469362947
N_bcatenin_H,1,0.9,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myc,-0.3649388292921416,-0.2500027287527032,-0.4720935276404986,0.33377637145566164,-0.32342399343856887,-0.4100081168301343,-0.3501231138980414,0.24924847095481514,0.02039930462512639,-0.5652911885277659,0.5949926356618269,0.4007291717174419,0.047449680480618366,-0.557167090433405,-0.554070195362766,-0.3954252412397716,0.5305187094086947,0.3527640068818486,-0.11078635367426796,-0.07959677419354838,-0.4337448532694258,-0.1656335052803583,0.05156249170225854,-0.24423469685013197,0.08332041677430466,0.6034451218410212,-0.005308120110045955,0.4034880452960133,0.24924847095481514,0.5679013428278836,0.6826928378920846,0.42300900642293565,0.6052161492184488,0.2514529086361799,0.5284554584953614,-0.37739273444451615,0.5382631816741276,0.5835976953193885,0.5676836440932631,-0.11566326901491615,0.26577741661315146,0.24733021183269224,0.2653329603439153,-0.4778193261376419,0.22946641174804863,0.22946641174804863,0.16967146086071794,-0.05967727135304046,-0.08826172888079656,0.25288657032561146,0.25288657032561146,0.2552239835028801,-0.41577187890457923
miR_34,-0.9,-0.8,0,0,-1,-0.9,-0.9,0,-0.9,0,0,0,-0.8,0,0,-0.9,0,0.9,0.9,0.7,0,-0.8,-0.8,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,0,0,-0.8,-0.9,-0.9,0,-1,0,0,0,-0.9,0,0,-1,0,0.9,1,0.8,0,-1,-0.9,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
Merlin,-0.6,-0.6,0,0,-0.7,-0.6,-0.7,0,-0.8,0,0,0,-0.7,0,0,-0.6,0,0.6,0.7,0.6,0,-0.6,-0.8,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6
