Source,ZEB1_H,ZEB1,Wee1,UbcH10,U_Kinetochores,Twist,SNAI2,SNAI1,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,Mad2,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,A_Kinetochores
IQGAP1_LeadingE,0.5,0.5,0,0,0,0.6,0.5,0.6,0,0.8,0,0,0,0.7,0.5,-0.5,-0.6,-0.6,0,0.5,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Horizontal_Pol,0.6,0.6,0,0,0,0.7,0.6,0.7,0,0.9,0,0,0,0.8,0.6,-0.6,-0.7,-0.7,0,0.6,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
FoxM1,-0.10506639355395771,-0.11672543319320403,-0.28288719616528235,0.23098768688032417,0.18465113428878613,-0.1627180520324502,-0.09020457640431678,-0.15748323119147337,0.26265820380565497,-0.17437753748213441,0.5897543895861734,0.46381787749654907,0.37286616222430224,-0.17581646423751687,-0.05082578618893856,0.1563048998757437,0.1783210261485263,0.1696761133603239,-0.1007074095696868,-0.16148956235237225,-0.1779524127443344,-0.17085326953748006,0.3638908247600493,0.13277358245789547,-0.37426786978061544,0.043306288875502384,0.04133631564524973,0.2694124227506468,0.4654158540261727,0.04447429084142153,0.26595930315321653,0.39926465883818496,-0.17359984467049822,0.4088833287759622,0.4286602103699889,0.4154263261104655,-0.009738113799624684,-0.08714938783877853,0.2642116382058047,0.25198443631690803
f4N_DNA,0.21225028649653957,0.20737635424082734,-0.2874397694830675,-0.021171445851519394,0.10105198015731767,0.21812311425066927,0.20221160548645495,0.23417573711055195,-0.23248794279427817,0.22419922857622004,0.3223560811107407,0.20254018404927762,0.2570394237731447,0.19880597014925375,0.18133783041695592,-0.23365703043717212,-0.24750778984926192,-0.16,-0.07898816968565449,0.23636379927775844,0.1994088669950739,0.16,0.2956994314296801,-0.037515675258958193,-0.24587598093575766,0.011213694979215833,0.009859927576844183,0.06565121795692903,0.297702885072478,-0.17857834371001707,-0.22994572203019953,0.357861885434514,0.04560883929341511,0.33419449827582676,0.24132140355324788,0.15984999242079334,0.07953162377667403,0.20046862889095302,-0.23136516668180168,0.26065221388343607
Emi1,-0.3604173635696881,-0.36329358554175295,-0.30890038444668305,0.18959717122492442,0.19749161687413763,-0.401944516169417,-0.32176745383895144,-0.41427686797634256,0.24315854780004123,-0.41908171410234213,0.43722619895964704,0.41417961041425616,0.14835330841628358,-0.39372167809874176,-0.23828598274335966,0.4110778506386451,0.4439798040829562,0.3515891132572432,-0.1350887607228092,-0.42257180545162487,-0.3971807573722984,-0.3532783183479082,0.4165176094523593,0.29960828811055756,-0.3218305233478442,-0.22217815025640958,-0.224127016047201,0.24760398686656354,0.4165185341710137,0.21232829072413914,0.24562231036431653,0.3475180366111551,-0.3584303771788702,0.3644656010002648,0.3796226482800279,0.37596652508682155,-0.0996119417756012,-0.3098278949639537,0.2445560887292888,0.32251847660514316
Ect2,-0.1911864228817968,-0.17637605464041783,0.2905677687615757,0.018116083781747904,-0.1025564919043492,-0.15833333333333335,-0.18477410668781563,-0.1948924731182796,0.22994572203019953,-0.16,-0.3223429691085547,-0.20587404077061686,-0.2569918073936143,-0.1,-0.17492454996909357,0.1948924731182796,0.2022792022792023,0,0.08165782004955333,-0.19556737588652484,-0.1,0,-0.299640915937414,-0.0672927256365574,0.2495617736497786,-0.007942420821071435,0.09477661241155695,-0.07074835471252101,-0.29991678887821954,0.17649304391833456,0.22836760014179366,-0.36159650166138735,-0.04214061764917884,-0.338139694325719,-0.24514241270327758,-0.1643669325746942,-0.07772967618187321,-0.18427865360734874,0.22857406951550324,-0.2649372075473925
Cytokinesis,-0.20375904663266828,-0.19456927923263867,0.2889440724745503,0.019861261190819268,-0.10172768519915616,-0.1948924731182796,-0.19523111675752902,-0.2182507441074733,0.23136516668180168,-0.19880597014925375,-0.3235051833745971,-0.20437462525042985,-0.2577374860231779,-0.16,-0.1789905261869685,0.2179950586061862,0.22914181335233968,0.1,0.08017158642218097,-0.21973336449514974,-0.16,-0.1,-0.297702885072478,-0.0643685991913087,0.2478317538280394,-0.009859927576844183,-0.007942420821071435,-0.06753830152268618,-0.299640915937414,0.17808082177946025,0.22857406951550324,-0.3599887846195867,-0.04430819776076725,-0.3363373699932664,-0.24357330222290483,-0.16195134424585278,-0.07922110234262959,-0.19408770409126191,0.22994572203019953,-0.2624922238640187
CyclinB,0.09692493301428004,0.09104270456405535,-0.29541540807122474,0.19122332523944463,0.18830769639669415,0.08438260857937016,0.09416858834642512,0.09525400427310197,0.15432005724120584,0.08503181788949765,0.36256882729271483,0.3385579406495619,0.3387791037392421,0.07082357926446275,0.0897155972176769,-0.09514219485672067,-0.09722881827398158,-0.054363239970560875,-0.05572489396112603,0.09564214242616424,0.07086612464486179,0.05439738164687837,0.33560372184502574,-0.016765562091221473,-0.35845066251198643,-0.15534368415643382,-0.15655987643024577,0.1587623615887553,0.33773807892921237,-0.08845370487152068,0.15704647854696036,0.3908266863250564,-0.1595433673952667,0.3858912960329049,0.29969656971646386,0.29354505553565613,-0.009041029063656874,0.09352579469714398,0.1554101167214326,0.24378117406169525
CyclinA_mRNA,-0.44184672184584584,-0.43696786944225485,-0.2897853795405498,0.27926616321209785,0.18129633755937538,-0.4611497842955862,-0.3931365472699325,-0.48730739341746,0.2208865440054515,-0.47704686603097846,0.46902695064864186,0.44326895227924484,0.248254255620318,-0.43303045390424033,-0.2747205084374862,0.4836035345860479,0.5156494459374552,0.3712783171521036,-0.11298404756317457,-0.4960118995881707,-0.43593116534711773,-0.3726451612903226,0.4524221527418432,0.3026498985914724,-0.37480096847869193,-0.05972133890334471,-0.06187227249083334,0.20459871585235515,0.4515085870663288,0.22712791040143343,0.22301929397128362,0.3675410192015893,-0.2970210042842866,0.3945371333611834,0.40242041094746017,0.4097652418265305,-0.05500282931984511,-0.3751357741136339,0.22230170877619923,0.2796755968034087
CyclinA,-0.44671640798965856,-0.44636249726532046,-0.2888498367073219,0.2777584735411079,0.18052922271270455,-0.48547563652013254,-0.3951175737933109,-0.5021143857331027,0.21951711939960322,-0.5058150229824971,0.4714809777024588,0.4425850574685552,0.2501154179894739,-0.47704686603097846,-0.27257546569435503,0.49764427812126977,0.5345440604671107,0.43303045390424033,-0.11217314537001366,-0.5122390238060699,-0.48167399766683977,-0.43593116534711773,0.4513752932887747,0.29944135557620066,-0.3740248787636811,-0.05794362446537883,-0.05972133890334471,0.201486824406555,0.4524221527418432,0.12513366964717249,0.22230170877619923,0.36734749996652527,-0.29502009661588074,0.39396845286607557,0.40166954321535175,0.4079500733538244,-0.05313167664745825,-0.37552213130330103,0.2208865440054515,0.27764815526790965
