Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,Stress_Fibers,SNAI2,SNAI1,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,LEF1,Lats1_2,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
miR_200,-0.9998942126848037,-0.9999809745772789,-0.6,-0.5,0.2917647058823529,-0.24344880091358964,-0.8,-0.4,-0.8998348268337597,-0.8999908231623384,0.3970326409495549,-0.3955719557195572,-0.25151335311572703,0.39580838323353296,0.3,-0.9981181295211737,-0.6,-0.4978118161925602,0.6,0.8999908231623384,0.999994337726314,-0.9999921963400835,0.5,-0.4980295566502463,-0.5,-0.2285481488748277,0.8,0.8999872961427913,-0.47692535781490564,-0.3962121212121212,-0.4986728599867286,-0.36923265156304164,-0.39714285714285713,-0.24694083694083693,-0.29597989949748743,0.2715308398609742,-0.2973421926910299,-0.4,-0.3948529411764706,0.1742341180264431,-0.8997882514953917,0.7,0.4
LEF1,0.9997800035525379,0.8999540546749369,0.6,0.5,-0.2884297520661157,0.23590225563909772,0.8,0.4,0.9996566669774574,0.8999778381073744,-0.3949367088607595,0.39311663479923514,0.24218579234972676,-0.3929824561403509,-0.3,0.7966628014335776,0.6,0.4954648526077097,-0.6,-0.8999778381073744,-0.899986333663603,0.899981152523206,-0.5,0.49644218551461244,0.5,0.19624234624234624,-0.8,-0.899969326329512,0.4626766091051805,0.3933993399339934,0.4973154362416107,0.35801337153772683,0.39481865284974094,0.23467510063254746,0.2942857142857143,-0.26461375661375663,0.296078431372549,0.4,0.39146341463414636,-0.15817671809256661,0.8995599324801111,-0.7,-0.4
Lats1_2,0.3137199276384065,0.14167181823704805,-0.9412242945958871,-0.8902439024390244,0.4834479841836677,-0.35043124840004947,0.23449398367873742,-0.8,0.23088849599371505,0.2721849428572999,0.5906883571251896,-0.6060416193622288,-0.4091488959458761,0.5789556553929243,0.5616504424354617,0.396670283764477,-0.5805194805194805,-0.663712879722988,0.5805194805194805,-0.2721849428572999,0.1944395049176142,0.089312122449679,0.5714285714285714,-0.714890348628902,-0.8902439024390244,-0.05912205457744034,0.5132897541558653,-0.21565368978650556,-0.46086470300024224,-0.5929040286402756,-0.708993663090993,-0.45122479042767794,-0.6180607069496146,-0.2900796066036803,-0.5296744279620113,0.40341203906708295,-0.5397841223759369,-0.680118814337533,-0.5854964539789134,0.14603434088732956,0.36782572145123754,0.5525842578474157,0.6
FoxM1,-0.16307955001946756,-0.1560720786445146,-0.16519953051643194,-0.1375,-0.3647890859164237,0.25355570857738147,-0.19391725575975333,-0.1,-0.1565328039799622,-0.1978822183581022,-0.18458294089827693,0.4819847005555805,0.3753091833109081,-0.32049144803533974,-0.23966044027917724,-0.12760960760341297,-0.1623780487804878,0.08072635472782455,0.1623780487804878,0.1978822183581022,0.06991197690027653,-0.18071726965666016,0.1375,0.3908913952051577,-0.1375,-0.3695168033847297,0.1816771216636141,0.18505048357961776,-0.060145314750500424,0.2427293859601662,0.09328925168549612,0.3016970271494695,0.40410390859007483,0.08928255290052314,0.4401849912371712,-0.2340126578589202,0.442158020031785,0.48745182602670134,0.44812696359952825,-0.038587378826839394,-0.15477024392703317,0.17439690188339432,0.1
FocalAdhesions,-0.3137199276384065,-0.14167181823704805,0.9412242945958871,0.8902439024390244,-0.4834479841836677,0.35043124840004947,-0.23449398367873742,0.9,-0.23088849599371505,-0.2721849428572999,-0.5906883571251896,0.6060416193622288,0.4091488959458761,-0.5789556553929243,-0.5616504424354617,-0.396670283764477,0.5805194805194805,0.663712879722988,-0.5805194805194805,0.2721849428572999,-0.1944395049176142,-0.089312122449679,-0.5714285714285714,0.714890348628902,0.8902439024390244,0.05912205457744034,-0.5132897541558653,0.21565368978650556,0.46086470300024224,0.5929040286402756,0.708993663090993,0.45122479042767794,0.6180607069496146,0.2900796066036803,0.5296744279620113,-0.40341203906708295,0.5397841223759369,0.680118814337533,0.5854964539789134,-0.14603434088732956,-0.36782572145123754,-0.5525842578474157,-0.5
Emi1,-0.37691575841829905,-0.357380660687403,-0.33131313131313134,-0.2777777777777778,-0.4179473142535528,0.21120641962383746,-0.39371467486927003,-0.2,-0.35509496431924253,-0.4097272091426739,-0.32499212247651216,0.43225513570986784,0.15606319794424614,-0.3581915646090853,-0.17344331731389043,-0.297910304802787,-0.3258181818181818,0.07651138408411329,0.3258181818181818,0.4097272091426739,0.30644572589104746,-0.39167877630117276,0.27599999999999997,0.42359462652502966,-0.2777777777777778,-0.2551582209122962,0.38355280470670305,0.3975031144702103,-0.14553305594973237,0.17829655194687186,0.07918864484597023,0.28052147345151474,0.24000338712218597,0.2619959649736544,0.39921018704699024,-0.4209121833569691,0.3976022500714649,0.4177819652851894,0.3626749874546149,-0.13723086107895874,-0.3472961551022389,0.36039118457300273,0.2
Ecadherin_mRNA_H,-0.4739682932218171,-0.5502606498688809,-0.7957894736842105,-0.7,0.4481775097914807,-0.32759195180995765,-0.43259971468214414,-0.6,-0.5106535634937934,-0.48286370623441444,0.5587471049154914,-0.5677747431418178,-0.3710317740035614,0.5470535609918573,0.5150571209555597,0.06356885669138149,-0.6927272727272727,-0.6349028757722746,0.6927272727272727,0.48286370623441444,0.5149512194015744,-0.4990149330087411,0.6,-0.6758258543731628,-0.7,-0.0683869713126382,0.7323675782212368,0.5709669881839682,-0.4514634990420173,-0.5577036871197139,-0.6731549491479663,-0.43268655815109813,-0.5768754099064568,-0.27567523976000835,-0.48588742975692023,0.3762841399973926,-0.49503799767009243,-0.6292580428030815,-0.5506173032084726,0.14202833055297254,-0.3644175346702104,0.7694949494949495,0.5
Ecadherin_mRNA,-0.4421687022197721,-0.5076698745990085,-0.7,-0.6,0.40741263507268466,-0.303834025318546,-0.3699099099099099,-0.5,-0.4904996096799376,-0.43259971468214414,0.5190483898069402,-0.5227341517317765,-0.3321391247548813,0.5087723798547925,0.45773228019122847,0.05410221028506025,-0.6,-0.5978797699152085,0.6,0.43259971468214414,0.45527734044265317,-0.44327944043114326,0.5,-0.6292580428030815,-0.6,-0.09118878296342689,0.7694949494949495,0.5238553986611839,-0.43972411567959735,-0.5150571209555597,-0.6271830821402936,-0.4120811883436007,-0.5274534445885377,-0.2651170625351645,-0.43476680806528833,0.3478832479601369,-0.4423932663081599,-0.5676372476960478,-0.5094121073885682,0.14458666289929495,-0.35255044606261543,0.6927272727272727,0.4
E2F1,-0.42115038822811773,-0.3194541459546755,-0.309893769738731,-0.24617283950617286,-0.47360275715049466,0.3028620794404112,-0.37704838742547375,-0.17333333333333334,-0.48522095206532845,-0.4090854185303205,-0.5395552279627962,0.5925094422283947,0.30139714361767933,-0.5424950874229737,-0.6060592812324739,-0.47280222582459475,-0.30738816738816743,0.564820247858663,0.30738816738816743,0.4090854185303205,-0.02414626144395233,-0.22725274190954287,0.2447619047619048,0.5922956910129031,-0.24617283950617286,0.11541014834893784,0.40010112705193246,0.43103076400453133,0.29791929156423336,0.6219074094324871,0.6205163271059503,0.33452347953497047,0.6625514884200547,0.3494863066484687,0.43780842736625436,-0.4844861860767984,0.5428033496303889,0.5737185087652074,0.6474104544064179,-0.1770422717751167,-0.49636939190093654,0.35867930662867376,0.17333333333333334
CyclinE,-0.32289936662824437,-0.28199562553040936,-0.2774062585034014,-0.23564625850340137,-0.44291712275832706,0.31292841510061836,-0.31743808983796107,-0.19142857142857145,-0.45702975209045277,-0.34452609617125046,-0.6149606703175644,0.56342544310894,0.38787982336281124,-0.5160751679354794,-0.6007142857880362,-0.3838625302179694,-0.2687126893125641,0.45995125186073677,0.2687126893125641,0.34452609617125046,0.034414539265361394,-0.18956587455619525,0.2274282856428393,0.6684890597074454,-0.23564625850340137,-0.07163689555873251,0.33973932825483655,0.36506228428826154,0.20745544759290818,0.514178035869129,0.515048209007731,0.3941084459876954,0.5581794965850266,0.3125109009158371,0.5055215434477895,-0.44531436728379276,0.5124942863529054,0.6528969141526837,0.6274636449227431,-0.06098000994899298,-0.4879479467382276,0.3070023326301404,0.18479262672811061
CyclinD1,-0.39893162505362023,-0.27749839742855903,-0.23872416891284817,-0.17142857142857143,-0.4902460819098672,0.32046962656435735,-0.32248970661472637,-0.1,-0.48365168320780877,-0.3662689071684554,-0.7688088828263115,0.6072315520253524,0.2915616202100886,-0.7672342372241332,-0.6206514292708382,-0.49838262737917177,-0.2369914853358562,0.5991033764021874,0.2369914853358562,0.3662689071684554,-0.08562029973377525,-0.1714051714962354,0.17142857142857143,0.6072357761681444,-0.17142857142857143,0.18223772960160528,0.3506392654337801,0.39448701951675164,0.3505055105562108,0.6485494647688104,0.7504520446601357,0.36721706200212323,0.6803732314463472,0.39295755839402907,0.4416889535709723,-0.5127459391415464,0.547572773294223,0.5744170411975206,0.6692783014734374,-0.21647904811116803,-0.5006584769157894,0.297682056384993,0.1
