Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,PTEN_c,Plk1_H,Plk1,pAPC,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,Mad2,LEF1,Lats1_2,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
TAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stress_Fibers,0.05221769625972479,0.15064781894864715,0.8849056603773585,0.8,-0.2943326523588469,0.24164248634716742,0.19187326189300652,0.04724014336917563,0.8,0.03738125827110884,0.78,0.7,0.17567807269077512,0.05991295442908347,0.27582169943518875,-0.7,0.5925259654154963,0.47698059007500654,0.3747694747353413,0.015709206781437744,0.6666666666666667,-0.6666666666666667,-0.05991295442908347,0.8,-0.06199619214997071,-0.1045090223202892,0.060416562230941516,-0.6,0.47997270494687516,0.8,0.14705994063768718,-0.3845051864678147,0.04021856421991933,-0.7323907037217617,-0.16125083983791366,0.03794146443528186,0.293444720973575,0.473734206126151,0.056404236878886016,0.2739694887856132,0.40842011675078566,-0.18766236754374682,0.4200445053342706,0.44089605888944733,0.43247014276756185,-0.017579937664205014,0.04581666595615903,0.27637098097493473,-0.7095238095238096,-0.5,0.2642247772184839
SNAI2,0.9999213965370289,0.9999746072052055,0.7,0.6,-0.3058961038961039,0.27024249088488916,0.22585974025974026,0.8,0.6,0.8999820103440521,0.7,0.5,0.9998774000921344,0.899987736456449,0.3109965635738831,-0.5,0.4933463796477495,0.4618390804597701,0.3298288138160885,0.7990050933033919,0.7,-0.7,-0.899987736456449,0.6,-0.8999924379915306,-0.08866688151251477,0.8999895754606344,-0.6,0.5764412947711166,0.6,0.18924539512774807,-0.3566834208835645,0.08852573713143429,-0.9,-0.99998303683128,0.09565217391304348,0.3828017883755589,0.49383259911894273,0.15530699229120684,0.2,0.3650724637681159,-0.25077716098334657,0.37520029652439196,0.48976377952755906,0.4509337860780985,-0.09406006131549607,0.9998427821096787,0.26666666666666666,-0.8,-0.5,0.28312105361663564
SNAI1,0.8999252760058937,0.8999698010645124,0.7,0.6,-0.2951934523809524,0.25821847643881546,0.21198333470835742,1,0.6,0.8999786084817369,0.7,0.5,0.8998832226509498,0.8999854524294444,0.3011965811965812,-0.5,0.49154228855721394,0.4565129038813249,0.3212145641974493,0.8990680373651042,0.7,-0.7,-0.8999854519003454,0.6,-0.9999910164847504,-0.08657513348588863,0.8999876226134852,-0.6,0.5738735704952922,0.6,0.17528957528957528,-0.35018753781004236,0.06993177387914229,-0.9,-0.9999798478512771,0.07870370370370369,0.3755020626501655,0.4925133689839572,0.13437543493389006,0.2,0.3592592592592593,-0.23351254480286734,0.3701912666907254,0.4875,0.4445622874417433,-0.07860072745402422,0.8998503149056882,0.258974358974359,-0.8,-0.5,0.27193867335884037
Replication,0.01470934907896317,0.018114900655347287,0.01111111111111111,0,0.3318750271277415,-0.0322920713911475,0.08194796565803651,0.023538381819527724,0,0.019851056478681708,0.01111111111111111,0,0.012567138363634562,0.022739801517841832,-0.05655234363968421,0,-0.3146762680162938,-0.34382607759380757,-0.24567952407884808,0.005490201474935958,0.01111111111111111,-0.01111111111111111,-0.022739801517841832,0,-0.02495927905859551,-0.006992974207824802,0.02312199234587549,0,-0.1518092035216204,0,0.196862083959721,0.06947885502714063,0.09933892513954805,-0.021933343444962228,-0.020585708681485883,0.10028997976128569,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.25478028610837566,0.16421623654421166,0.00922081023730757,0.12079645459883533,-0.21503724588121872,0.06851867005185559,0.01228590369779763,0.04270224002873732,-0.02031356509884117,0,0.1044532594210477
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk1_H,0.26442533780852406,0.2579657833627504,0.17142857142857143,0.1,-0.21405397303349055,-0.061851164558132665,-0.14834546047298153,0.26606699239298676,0.1,0.27072283681214865,0.17142857142857143,0,0.24948126574084503,0.28918412235259716,-0.027169251312027666,0,0.4610607037845451,0.32894253556868486,0.3270554597830858,0.21654796696716155,0.17142857142857143,-0.17142857142857143,-0.28918412235259716,0.1,-0.30584591878677325,-0.1310508584751076,0.29296516752569174,-0.1,0.2153178044077201,0.1,-0.3114194230992217,-0.21949685107936912,0.3276760139340804,-0.25405065248471453,-0.27504569206835,0.3260431167942094,-0.12762647606350844,0.22032820798812208,-0.20966855442295668,-0.022624099384322697,0.1612957434841041,0.16722797400620956,0.22794368869726228,0.05918590474361857,0.054028150385046506,0.185905819630588,0.24660844094182197,-0.02557050858371519,-0.22168763878608438,0,0.07159884293045557
Plk1,0.25338881042302963,0.2530631861768395,0.21579961464354525,0.16666666666666666,-0.09786260600979493,-0.06018461981544432,-0.12408015642917573,0.2770686514128068,0.16666666666666666,0.26915193424790373,0.2145956607495069,0.1,0.23574460091576124,0.2903528035605596,-0.07399446595881846,-0.1,0.32688534428254845,0.09371492791471506,0.2987020199602582,0.19362809240244794,0.21333333333333332,-0.21333333333333332,-0.2903528035605596,0.16666666666666666,-0.3113976411415724,-0.10593853934643316,0.2958464074002354,-0.16666666666666666,0.09442718944989821,0.16666666666666666,-0.20073103234275091,-0.19953781184991198,0.10873183438377443,-0.26243158181667636,-0.2738625440487748,0.10841001293355768,-0.13451709446954171,0.09696078131461056,-0.18539910651568253,-0.072199730451449,0.1336191122327742,0.15564527441900702,0.12372227914541478,0.059878194778127516,0.0385751359521461,0.16453804648383324,0.2317139127529924,-0.07350544488438557,-0.24268451767936833,-0.1,0.04044599247050204
pAPC,0.30066954056797923,0.3058307104829939,0.30863650743435617,0.2655172413793103,0.31722355167702443,-0.15021380058058306,-0.06620661387229454,0.3474927665900414,0.2655172413793103,0.32937048188746465,0.30579514824797843,0.2,0.26933882578730084,0.35092037845662466,-0.24417460399566307,-0.2,-0.4215536990145825,-0.3987074853464729,-0.07841382137047939,0.20684420678228452,0.30197935640558593,-0.30197935640558593,-0.35092037845662466,0.2655172413793103,-0.3819781145627417,0.26475395197346757,0.3612323832762915,-0.26296296296296295,-0.4019681172342732,0.2655172413793103,-0.27594316352398973,0.38633739200971984,0.21573566325659604,-0.33159664324049065,-0.33258034596162867,0.21756668770679247,-0.3431667974590652,-0.40206610297793777,-0.19027743317876772,-0.24652463536174146,-0.44692800620862627,0.2167837559663704,-0.45259510576232687,-0.36429186457020846,-0.3588425029102601,0.1581223619333991,0.2609056363576149,-0.24550018382989647,-0.3223607628418196,-0.2,-0.399263956242638
N_bcatenin_H,0.9999759166716841,0.9,0.6,0.5,-0.2532200357781753,0.23279352226720648,0.1988343341575415,0.8,0.5,0.9,0.6,0.4,0.9999624272027052,0.9,0.26595744680851063,-0.4,0.4,0.3883720930232558,0.2635042735042735,0.7995745512409534,0.6,-0.6,-0.9,0.5,-0.9,-0.06424242424242424,0.9,-0.5,0.49420289855072463,0.5,0.15294117647058822,-0.28695652173913044,0.09398496240601503,-0.8,-0.9,0.09473684210526316,0.34345570239843365,0.4,0.15151515151515152,0.1,0.28956521739130436,-0.21818181818181817,0.29509202453987726,0.4,0.384,-0.10400000000000001,0.9999518130345741,0.2,-0.7,-0.4,0.23853249475890986
