Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
miR_200,-0.9994884955925059,-0.9997925660791946,-0.8,-0.7,0.4185109896362357,-0.32149621003969153,-0.7999703286106372,-0.7,-0.7,-0.8,-0.8992369844705557,-0.8998862947084696,-0.999983304463969,-0.5402472350247449,-0.39573330135573603,-0.9,-0.9943935406402368,-0.6,0.6,0.899879231743064,0.9999200204909116,0.8,-0.999895561338214,0.7,-0.9,-0.8,-0.6687305431931124,-0.9,0.4524509486008994,0.7999660671869698,0.8998505224401271,-0.4584659371038164,-0.5872080185002673,-0.2014468174178005,-0.4509568023814599,0.32417850001944476,-0.45951235713316974,-0.5872080185002673,-0.5330007232233311,0.12064357809601807,-0.8990365309144673,0.7,0.7
Merlin,-0.3950783262841049,-0.4760425513248728,-0.9996062992125985,-0.9,0.4087856685696744,-0.29178192247096235,-0.6460879471405787,-0.9,-0.9996401259559153,-0.799565453557849,-0.4015058599728665,-0.6203824073503699,-0.8877284598371675,-0.5312287826883176,-0.41080190490324614,-0.7951668755512232,-0.13976487265022092,-0.6992055610724925,0.6992055610724925,0.4995833060765273,0.6176696436564092,0.6987596899224806,-0.49833033673243365,0.8,-0.8982194122636441,-0.8995728017087931,-0.6552978348993646,-0.8980897110749122,0.4718624861245229,0.8805231374383581,0.5941515795219944,-0.3686633527892128,-0.6347539855286701,-0.12807372527413832,-0.47772781938564773,0.2830275628401551,-0.4833055598364012,-0.6347539855286701,-0.5085407580715234,0.06290245926902609,-0.36842949662449137,0.7972651591320906,0.9
LEF1,0.9999446979123462,0.9,0.6,0.5,-0.2869158878504673,0.2435978835978836,0.8,0.5,0.6,0.6,0.9999144750908702,0.9,0.8,0.3923728813559322,0.2680692900497852,0.7,0.7988377417345174,0.6,-0.6,-0.9,-0.9,-0.6,0.9,-0.5,0.7,0.6,0.49713993871297235,0.7,-0.29548022598870055,-0.8,-0.9,0.3622979701263883,0.4,0.17940459256248728,0.2948387096774193,-0.23944967310870036,0.2964679911699779,0.4,0.39034852546916887,-0.1280296584417163,0.899891972182837,-0.7,-0.5
Lats1_2,-0.1772689589592658,-0.30107382036172015,-0.9991923271075214,-0.9,0.3858574371818456,-0.2725630890324808,-0.3998951125906863,-0.9,-0.8992578849721706,-0.7991140642303434,-0.31676955294883774,-0.46463548044437236,-0.7780057026094831,-0.5064460321424751,-0.3904989213627268,-0.6908430956312079,-0.06311858947863772,-0.6983838383838383,0.6983838383838383,0.32257139714489985,0.3489457089927482,0.5974683544303797,-0.21470828299988792,0.6,-0.7966273224019842,-0.8991304347826088,-0.6264762407120446,-0.8963857580537613,0.449633192219242,0.8661558387450299,0.32136828129121053,-0.3390212776428102,-0.6102759347033829,-0.10700623007109522,-0.4562096910730832,0.25868932998760696,-0.4605646976568307,-0.6102759347033829,-0.48227487662638113,0.05145258441303494,-0.1850741267878498,0.7949795830646894,0.6
IQGAP1_LeadingE,0.5348892823884992,0.5662940492821648,0.9,0.8,-0.4130581313909367,0.29967209958560953,0.5901423267326733,0.8,0.8,0.8,0.6293458740415435,0.68109430744841,0.8979241755181604,0.535745948503601,0.4027558903289754,0.7994708994708994,0.4384732292520968,0.8,-0.8,-0.5759821593560199,-0.5820871740999944,-0.7,0.4767021089855861,-0.7,0.8998214285714285,1,0.6637012605716794,0.8998074608904935,-0.4665586053283953,-0.7962492170320516,-0.573393298474384,0.39938806344678696,0.6228768675733735,0.1479216980141306,0.4694160767998842,-0.29498319856680755,0.47693548207151054,0.6228768675733735,0.5183841202717617,-0.07847830513095058,0.5134275739641894,-0.8996418979409132,-0.6
Horizontal_Pol,0.6642662144881839,0.6813498330411865,0.9,0.8,-0.41895299172326333,0.3045933895358963,0.6947183540877098,0.8,0.8,0.8,0.7566205031608089,0.6891285723946711,0.8984703814944727,0.5414038108746027,0.40709424564343405,0.79960513326752225,0.5134120309569699,0.8,-0.8,-0.6871976844519201,-0.690655765660724,-0.7,0.5881795428933569,-0.8,0.9998555435175154,0.9,0.6698888529143595,0.899845946466397,-0.4715611871835529,-0.7972774242989666,-0.6855079457268898,0.4077012986064295,0.6271393237241523,0.1531239641223085,0.4741969215848056,-0.3005785493983075,0.48187133414438027,0.6271393237241523,0.5243231958387272,-0.08144890494954257,0.6458374305792547,-0.899704905938768,-0.7
FoxM1,-0.13748687208001725,-0.14466543952282918,-0.1846938775510204,-0.15,-0.35917528154543427,0.24891360095002538,-0.18242631766371234,-0.15,-0.18328391401037805,-0.18593358395989973,-0.1221964196706277,-0.18365203187337542,-0.19758909948722794,0.47587034366903913,0.37409517635125283,-0.19016876917785366,-0.08278009264260906,-0.159375,0.159375,0.18244487010370725,0.20350267088322238,0.17571487774554495,-0.18753636599543774,0.1411764705882353,-0.2063249837468187,-0.18193163976005475,0.38481907745216165,-0.20507808056918506,-0.4270133249315526,0.1668074398742776,0.16523942491574428,0.2937874482401131,0.48330116729144257,0.0752844020283293,0.4364358318638293,-0.22439482548655584,0.4375582479284815,0.48330116729144257,0.4467370542016459,-0.03234074103376215,-0.11872845849506261,0.17188578515962036,0.15652173913043477
FocalAdhesions,0.4476248323835426,0.5104943906839852,0.9996987951807229,0.9,-0.4120370287948993,0.29047183302450363,0.6633659414887019,0.9,0.8997233748271093,0.8996694214876033,0.5468260225392102,0.7444683707126272,0.9915420478963869,0.5360554930443931,0.40999219308785506,0.8966342988188961,0.28686518881586665,0.7993874425727412,-0.7993874425727412,-0.6301706461983096,-0.6438011139550218,-0.7990686845168801,0.5303015139680338,-0.7,0.9987468584210181,0.9996734693877551,0.6666901004495382,0.8986547653432966,-0.47522825891498244,-0.8864991766639656,-0.6253340873021627,0.377896086573431,0.6433418938252032,0.12392121709889284,0.47983401935978043,-0.28133541280820584,0.48762599266737733,0.6433418938252032,0.5141573368298761,-0.05973723036689017,0.5177313357142728,-0.8981149081082661,-0.7
Emi1,-0.39639901968193914,-0.3924887922994607,-0.36575143785946485,-0.2906976744186046,-0.42230340018713824,0.21149377653353332,-0.41978858578045236,-0.2906976744186046,-0.3660753190164955,-0.3654313839027215,-0.35814738866794943,-0.4404652433246807,-0.4444269503942622,0.44433652712232696,0.16464519334397432,-0.4077463681986174,-0.2743668692541291,-0.3474980988593156,0.3474980988593156,0.4372660517532232,0.46802359320921755,0.35667775177567024,-0.44820215293542154,0.2865546218487395,-0.42549195398468004,-0.36357995531439513,0.4471088213296571,-0.42406625232377415,-0.3957143025397435,0.40816670970962193,0.42019050522988566,0.2750146103199121,0.44294081469936397,0.24565083191776232,0.4038227159508249,-0.42420321498224933,0.40506803006061326,0.44294081469936397,0.41720889049063814,-0.12694427221439655,-0.34544338376536315,0.3974238046542636,0.2912087912087912
Ecadherin_mRNA_H,-0.6573601635078982,-0.6759354708650193,-0.8,-0.7,0.3780523823171295,-0.26644606988485087,-0.49179668541545174,-0.7,-0.8,-0.7,-0.7466075004996797,-0.5845817679293595,-0.7968736902357221,-0.4976375909851144,-0.36920607785297815,-0.6990062111801242,-0.49478188194910133,-0.8,0.8,0.5826247750153286,0.5871719384690954,0.6,-0.5843723184867701,0.7,-0.7995971802618328,-0.9,-0.5230208756474315,-0.7995749202975558,0.43408748300263056,0.7947258958264094,0.6806301958910654,-0.35106526287189377,-0.49267355098603954,-0.10557545357903646,-0.4384223178399059,0.24963191915313612,-0.4442194182421397,-0.49267355098603954,-0.47645927575295915,0.05554722985190813,-0.6343384671711385,0.8991675338189387,0.6
Ecadherin_mRNA,-0.5731283575779791,-0.5869269722814499,-0.7,-0.6,0.35579740810931815,-0.25631496142239557,-0.3969811320754717,-0.6,-0.7,-0.6,-0.6661727178909842,-0.49231713688610246,-0.6990062111801242,-0.4712348760529877,-0.34025672033219206,-0.6,-0.4489558868804152,-0.7,0.7,0.4911929824561404,0.4939893048128342,0.5,-0.4921957888980038,0.6,-0.7,-0.8,-0.49267355098603954,-0.7,0.40233901674496186,0.7978779840848806,0.5899378881987578,-0.34420870730002473,-0.44579075796858325,-0.11046640725047793,-0.4042238078663418,0.24003053267133367,-0.41016076166692683,-0.44579075796858325,-0.453012070784015,0.06539104701769119,-0.5575517318938372,0.8,0.5
CyclinB,0.07108044262589418,0.06695762068912751,0.0466788580717261,0.033725490196078435,-0.33465374874367365,0.20769632547042088,0.06468320406989236,0.033725490196078435,0.046538791078190214,0.046800646476003085,0.06853039509583449,0.07211906161975817,0.06626281609509968,0.35131802576206894,0.3483450277170569,0.05672852610478364,0.06422517538629721,0.044188311688311686,-0.044188311688311686,-0.07197305788328137,-0.07461698452056098,-0.04577165947116936,0.0725963035248025,-0.032643678160919544,0.058286822668403813,0.046397786160503364,0.3586998794532471,0.05817599328535703,-0.40751876662776343,-0.06286024448541264,-0.06969427566321479,0.1783443371597387,0.359215471684535,-0.06364586169801992,0.4185703503633995,-0.20629579566991868,0.41712316801578,0.359215471684535,0.3238587935963922,-0.022759293758934596,0.06791287436192375,-0.054832201307234166,-0.03452991452991453
CyclinA_mRNA,-0.4699573552664334,-0.4569315656367151,-0.37997113997113996,-0.29393939393939394,-0.45285530487284875,0.2960063477536473,-0.4694748427513681,-0.29393939393939394,-0.3804703576678099,-0.3794728887209522,-0.4228857830199674,-0.5035918155864241,-0.49319674443736705,0.47331935697014976,0.26332935988463935,-0.439996144993993,-0.30629732113902747,-0.3678397212543554,0.3678397212543554,0.49987687251021545,0.5295392531047125,0.3731659192825112,-0.5115611400513045,0.29058823529411765,-0.45394489946345723,-0.3784640646709613,0.4779664230051222,-0.45291462313829634,-0.4350055753277545,0.4612084468485443,0.48458793781400206,0.22462361903397965,0.4727437050836687,0.25513890731924305,0.4454486096965667,-0.3509917636330694,0.44403614961059407,0.4727437050836687,0.4458054686443405,-0.07552256340306654,-0.40422019316931007,0.43339242048314713,0.29411764705882354
CyclinA,-0.4813925646168381,-0.47431617748683114,-0.4541734481856682,-0.37997113997113996,-0.45419686750837596,0.2960606209835913,-0.5017562447720741,-0.37997113997113996,-0.45543634406236777,-0.45291462313829634,-0.430737791945787,-0.526842285609403,-0.5338842386775292,0.4751332523721393,0.2678394574477706,-0.49319674443736705,-0.3060229010401743,-0.43339242048314713,0.43339242048314713,0.5222132936640103,0.5566416253078024,0.439996144993993,-0.5360305409319259,0.37094999240006077,-0.515352908584164,-0.45158523970156106,0.4800070153025026,-0.5137535788437818,-0.43814519637855487,0.49401477095921625,0.5052111141374702,0.2227427191524677,0.4779664230051222,0.1530918529635813,0.44916103327905466,-0.35058736396364376,0.4476795396694822,0.4779664230051222,0.44692489135938385,-0.07281655181425956,-0.4099424903964365,0.48749349753368565,0.3778838808250573
