Source,YAP,WT1,Wee1,UbcH10,Stress_Fibers,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,Myc,Mst1_2,MCL_1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
E2F1,0,0,-0.4748602925580845,0.30287510786041477,0,0.34953561765216445,-0.5414337246772609,0.5926796675993522,0.3014631980142275,-0.5437075826599647,-0.6093164044530764,0.5663783340853945,0,-0.5170982192860291,0,-0.3438163344601906,0.5921070613918726,0,0.11646957478515822,0,0.29879755474998315,0.34953561765216445,0.6160989139478578,0.6222988631061392,0.33452421389971837,0.6629591179413094,0.34965126454439743,0.4382133035722622,-0.48464731152261764,0.5429038800618284,0.573499004727924,0.6473702799676391,-0.17719477938779685,0.3797871106033253,0.3706823613340467,0.38690501182718806,-0.38373912477352773,0.32125195544498136,0.32125195544498136,0.27744988728351855,-0.1417963853362538,-0.19463781915266937,0.35361258433745124,0.35361258433745124,0.38288173923390445,0,0
Cyto_C,0,0,-0.4917172789323968,0.0821875266472355,0,0.48110279707213877,-0.3885492200700463,0.2972804781854884,0.2050608292413282,-0.3550365958703173,-0.38138294522139715,0.34121525631953736,0,-0.490098800648844,0,-0.44101815378314246,0.09996248811075732,0,0.1193813606399065,0,0.24901469061151782,0.48110279707213877,0.055881932453195594,0.3662439914134078,9.99740178678972e-4,0.3083141817561529,0.14792093195268513,0.42099365651310483,-0.18744401757757187,0.25197944603050704,0.07777791565709975,0.19263675141397016,-0.11994778969575823,0.8586305073766723,0.7969981238273921,0.8873494610062072,0.2619732711299261,0.47138770755670967,0.47138770755670967,0.4587774690091605,-0.4592130687124514,-0.4991182715451557,0.5051815321479697,0.5051815321479697,0.7976401179941003,0,0
CyclinE,0,0,-0.44276454957940414,0.3129352683427271,0,0.02132943243812533,-0.6148061166147718,0.5634468472899972,0.38788804777800717,-0.5159578940463962,-0.5974355048634147,0.46069285112707775,0,-0.29698874174340606,0,-0.01784848319242642,0.6686369993410749,0,-0.0715833344294342,0,0.20776693742083366,0.02132943243812533,0.5136437636711326,0.51566254868026,0.39413745006578743,0.5582833913463465,0.31252596855767856,0.5054997095435643,-0.44533089963613015,0.5125129927171727,0.6530275084338971,0.6274983273531485,-0.06098600905266523,0.017073489075660482,0.0075465127847975325,0.012160491770635815,-0.4586900517764394,0.03145364894198742,0.03145364894198742,-0.021263269683568155,0.04805398308674092,0.043219230650245806,0.023784422475177168,0.023784422475177168,0.007009051554506099,0,0
CyclinD1,0,0,-0.49032213512764156,0.32046962656435735,0,0.21021520694136756,-0.7689275989293759,0.6072414444233905,0.2915642962105234,-0.7673056905876774,-0.6203724112672127,0.5993063876048805,0,-0.44120673646533043,0,-0.20438344534197112,0.6072338704557814,0,0.18231876438000366,0,0.35060197709180907,0.21021520694136756,0.647731046056018,0.750633148973349,0.36721706200212323,0.6804061389726676,0.3929614907394173,0.4417105152957664,-0.51274996332137035,0.5475763967665623,0.5744170411975206,0.6692674852953664,-0.21648442533556295,0.21727629348050245,0.1991475409836066,0.2142700116971316,-0.40278303864978166,0.19443232322288306,0.19443232322288306,0.1520716805740612,0.02107055189767386,0.005105215496071823,0.21505006731334317,0.21505006731334317,0.20494286107669007,0,0
CyclinB,0,0,-0.3483735004548225,0.2161804185793065,0,0.24663751280541266,-0.17501076061607324,0.36659993305003746,0.3541372301453467,-0.3134650985739691,-0.308023624423272,0.177576136506306,0,-0.24164935764439893,0,-0.24507172855244752,0.37764348956961846,0,-0.3608202286739809,0,0.08402979613882315,0.24663751280541266,0.288363398268387,0.20737769549633528,0.19007740478673524,0.3375971285852727,-0.04601336075084807,0.4282418801932245,-0.22334392452317756,0.4286552573559449,0.37600317586842313,0.3447234881754642,-0.029353415727136855,0.27396207447032095,0.271476626538366,0.2822527044243187,-0.3774326548123155,0.2223004677683485,0.2223004677683485,0.12260895443260647,-0.20399673884226668,-0.23263428154514104,0.24752799685343158,0.24752799685343158,0.2827524300257503,0,0
CyclinA_mRNA,0,0,-0.43491091695128564,0.28898534701333545,0,-0.12881491157766226,-0.3159183418826341,0.43866915015347113,0.24122684363140162,-0.3596065293339074,-0.15356150186835701,0.08064340444304598,0,-0.029937238018633287,0,0.13091020575303886,0.4245533100158772,0,-0.21359823198498437,0,-0.1207415180325799,-0.12881491157766226,0.1642084098429552,0.08091448767135999,0.22724792488381645,0.22634138115923128,0.27230554768362736,0.42967725924882016,-0.33160712913609525,0.42074483889210923,0.4179135940912665,0.3474550968873201,-0.08953136452688006,-0.14554765198575792,-0.15146352941176472,-0.1539204034316288,-0.2971357445128437,-0.09806979091265189,-0.09806979091265189,-0.13226658841097327,0.1305654700902854,0.13809425216731847,-0.12774481788046294,-0.12774481788046294,-0.15863179074446682,0,0
CyclinA,0,0,-0.4379290918297296,0.29034737613053513,0,-0.12774481788046294,-0.3179384465490646,0.44230150995774065,0.2461204835714231,-0.36186883683531157,-0.15837929120032862,0.08363638207377698,0,-0.0318880053479154,0,0.12881491157766226,0.4284871341486186,0,-0.2161515510533535,0,-0.11887487125692117,-0.12774481788046294,0.16752888273531485,0.08483034958581424,0.22726762057897282,0.23133555028166172,0.17194007719666832,0.43463827802498517,-0.3331041031650349,0.42584363696530103,0.4245533100158772,0.3505688250500834,-0.08783069010616468,-0.14366266490318208,-0.1539204034316288,-0.15287047449668772,-0.30046299403709803,-0.09766028350377262,-0.09766028350377262,-0.13265754510721986,0.13098838481052275,0.1383420087212327,-0.1273170968571377,-0.1273170968571377,-0.1625185577631143,0,0
Cdk1,0,0,-0.3540131717255813,0.06782656287731499,0,0.2229004253380784,-0.1982313135152275,0.3696797192261111,0.34165792450008675,-0.320187033848708,-0.31211256740226434,0.179108854801969,0,-0.20561064303510643,0,-0.2214853190145602,0.38318239938882037,0,-0.3506794000276661,0,0.06061776750136809,0.2229004253380784,0.29205756630787827,0.21211761270872778,0.07283869686870184,0.34181342176875434,-0.006345709104844025,0.4191506881591267,-0.21456726753260033,0.42226586933334065,0.3812248419125651,0.3486299985400964,-0.007977010750036973,0.2525644551940581,0.254614928815437,0.2630348909488275,-0.36149998156534646,0.1935291017844833,0.1935291017844833,0.10566142506189743,-0.1755523217526242,-0.2058081881624349,0.2237472736112336,0.2237472736112336,0.26697113567767516,0,0
Cdh1,0,0,0.24045777856867137,-0.2864600518104664,0,-0.017979104770627214,0.18074202846706927,-0.3699467354960718,-0.27812529071074044,0.18625457828745332,0.11336224491071553,-0.051236069270444926,0,0.1441404934687742,0,0.017750279979095514,-0.26522524491767563,0,0.24307023564140212,0,0.07647829280057647,-0.017979104770627214,-0.11500337099941271,-0.05524419083328298,-0.14968932471864052,-0.1802490064399855,-0.09593716329294119,-0.3147887846270848,0.15889788927435153,-0.3134502118361746,-0.2640861933538607,-0.3332769079111791,-0.07715732480870971,-0.02045880267446116,-0.02007706637697714,-0.021019532130401797,0.2440647741776663,-0.013758998060977152,-0.013758998060977152,0.02301920767033285,-0.020861137023215102,-0.01740122022043709,-0.01791091578973732,-0.01791091578973732,-0.021990974175570742,0,0
Cdc25C,0,0,-0.3524914937036379,0.06720656777046552,0,0.2214853190145602,-0.19664119433445998,0.36789901311284534,0.3392667231583265,-0.3188435670594707,-0.3079436088997717,0.17679926645212782,0,-0.20432689629253908,0,-0.2192296146225583,0.3812248419125651,0,-0.3498009851141538,0,0.05930465882346607,0.2214853190145602,0.290154815533438,0.2089328861223274,0.07298868009306912,0.3389142207497641,-0.006278377959102613,0.516852732768984,-0.21380794204427594,0.4198983767071593,0.37784814505035214,0.3470035394154841,-0.008859749956220717,0.24884284419532446,0.23905388435530997,0.254614928815437,-0.36054762261438517,0.19281091079770057,0.19281091079770057,0.10517067189697124,-0.1754779098232611,-0.2055904515736256,0.2229004253380784,0.2229004253380784,0.24932579533294832,0,0
Cdc25B,0,0,-0.35882737686614674,0.2324321470223334,0,0.12079136219359139,-0.1863852962573431,0.4749791496991372,0.3587226012789477,-0.31826460204521256,-0.24877331779696657,0.09538223852149022,0,-0.22056797214960394,0,-0.11767568755858418,0.48472344043505056,0,-0.36177544120606286,0,-0.05725258124400686,0.12079136219359139,0.24784729195574937,0.11177954086934432,0.2937275124171989,0.40816056915913634,0.09099246009014313,0.5292277391669493,-0.22698744050442743,0.531316860698353,0.4788158267836309,0.44521842454442806,-0.03176131259285265,0.12943331411908746,0.10992362247681398,0.1254996094968248,-0.3801454660452702,0.11218484921040636,0.11218484921040636,0.04360419666337481,-0.07433979385376656,-0.08975929869635438,0.12247460145492717,0.12247460145492717,0.11321384628004265,0,0
Cdc25A,0,0,-0.3694241197155065,0.27211951034747234,0,-0.15521431081266407,-0.28334902432258324,0.48622311686485836,0.3792778635249644,-0.3142613886188159,-0.14434706573093417,0.06501026453665344,0,-0.1236876675576232,0,0.15592464462543595,0.48361926589190085,0,-0.3345772881104838,0,-0.1286168488619356,-0.15521431081266407,0.156286332752415,0.06740112373250048,0.2106023120582276,0.3397948921240028,0.21376555820777807,0.3473763102362676,-0.36040934395755764,0.44816561438776137,0.48007608393856777,0.32693889631399287,0.033143612832889094,-0.173601194780082,-0.18042168634993283,-0.18256000910302336,-0.29928141079893444,-0.12091401813197297,-0.12091401813197297,-0.15416136734998626,0.15300109589027616,0.1621266245459188,-0.15507946544272355,-0.15507946544272355,-0.18950480896694497,0,0
Cdc20,0,0,0.4174117564530337,-0.03440636954937919,0,-0.2532913294079588,0.24636296654080425,-0.4346127191588252,-0.13265109848525766,0.37548214180067,0.28220994195788823,-0.09892999277766246,0,0.270040178093172,0,0.24932780207399569,-0.43839154299685584,0,0.400062178279864,0,0.08595593967779591,-0.2532913294079588,-0.2750118404301568,-0.11266310199447242,-0.37390066141951783,-0.33312759073319376,-0.14700217380828284,-0.49604172340855834,0.30057245552673084,-0.4959620204068835,-0.43218125320916023,-0.3969792454537758,0.11028932135539622,-0.27242269106213096,-0.2535598131896963,-0.27243187013439424,0.44969344765764774,-0.23497944596536638,-0.23497944596536638,-0.12060006410339619,0.21528555414699468,0.2403242727480454,-0.2556064941347137,-0.2556064941347137,-0.26215331547005905,0,0
Casp9,0,0,-0.5087004998284355,0.09081236226624734,0,0.5051815321479697,-0.40600286245415224,0.3141260826993026,0.2200149032547889,-0.3711065682496412,-0.4120468019126511,0.3575918587475873,0,-0.5038583196869201,0,-0.48110279707213877,0.11735866523378347,0,0.11165311781325249,0,0.2548749693254262,0.5051815321479697,0.06928272218666055,0.386971208740681,0.007954181275657534,0.32768593103148536,0.15209058880178955,0.440628004794677,-0.19839689043759454,0.2720950055152254,0.09996248811075732,0.207926301818299,-0.11942437098781866,0.8119223837955847,0.8873494610062072,0.9653707791266095,0.25200763539109444,0.48381435652927685,0.48381435652927685,0.4695206089756791,-0.46506482423910933,-0.5067879457446212,0.52008518118446,0.52008518118446,0.8894433966826248,0,0
