Source,ZEB1_H,ZEB1,Twist,TGFb_secr,SNAI2,SNAI1,SMAC,Rac1,pRB,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,Fast_Migration,Ecadherin_mRNA,E2F1,DR4_5,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
Casp8,-0.11520746440300159,-0.15685517219829462,-0.6608159506507035,-0.09800916001618538,-0.3111686122059076,-0.23977596004803012,0.7828617570603369,-0.5318776456129333,-0.5110328828020119,-0.4958500564330648,-0.4867408455134667,-0.46820119320926823,-0.02160276712041877,0.47729680236050964,0.12925311435584538,0.0990272065580209,0.45627828799531694,-0.776760834681196,-0.10129063549165003,-0.5101474970035822,-0.6904780600656889,-0.47021399127768637,-0.46986469023185096,0.3842792490213478,0.4866056611283921,0,0.7828617570603369,0.08057770969063431,0.48150521764568877,0.8943094892465349,0.8996210326859309,0.9982681578268554,0.8996210326859309,0.7686236801131632,0.7686236801131632,0.8725794049816464,-0.8746270610812698,-0.8752938164809503,0.8740763267666342,0.8740763267666342,0.9997116077865897,-0.1495066007809785
Casp3,-0.1345960860668901,-0.17578653844691228,-0.673437037286384,-0.115983226726829,-0.3307597443903904,-0.25900116699435977,0.7693503725958359,-0.5417856830384365,-0.5593621391255799,-0.5107518635160772,-0.534890107572535,-0.5144318929505555,-0.047997325735657105,0.5271334651163535,0.14878221128556585,0.11480398826290336,0.4772093980809662,-0.8364472626695811,-0.11909592903200124,-0.5266883987010803,-0.6799976521455545,-0.49285948251922296,-0.49297106842235355,0.40264529799400106,0.5365473900369377,0,0.7693503725958359,0.1308754453095991,0.5313669006442573,0.987081266764729,0.9979149506293747,0.9946673895739174,0.9979149506293747,0.8507936317676881,0.8507936317676881,0.8566697796911169,-0.9598368430149534,-0.9601806966572914,0.8578760337858571,0.8578760337858571,0.9983074031621006,-0.1720590711551056
Casp2,-0.028666666666666663,-0.08363834113585851,-0.4881481481481481,-0.02009540846750149,-0.2576731358659833,-0.1780861244019139,0.8,-0.4299276317614374,-0.33730039463477185,-0.364106988783434,-0.32928055810631573,-0.31542254379903256,0.1288285538082023,0.29420627039296354,0.04833333333333333,0.03130178186357962,0.28596491228070176,-0.5872087017288001,-0.02532430908065426,-0.3667847433890765,-0.7,-0.28688524590163933,-0.28904109589041094,0.3203434816549571,0.3000967276542724,0,0.8,-0.1376966032124286,0.2971153018169293,0.7,0.5,0.6,0.5,0.899375,0.899375,0.9994811932555123,-0.8994032077582992,-0.899590058929029,0.8996863974911798,0.8996863974911798,0.5,-0.04147651006711409
BIM,-0.04982537800867008,-0.10345219881526813,-0.553673929576901,-0.03784713253934089,-0.27764522782953177,-0.19527300154685961,0.8995685005393744,-0.47549759176153694,-0.38023799137825237,-0.42215516338500214,-0.36849703611460216,-0.35100162397192103,0.09581456764105166,0.3417310208750016,0.06946138211382114,0.04700726870771086,0.35994318181818186,-0.5690703363914373,-0.04359537897999437,-0.427358830957965,-0.8,-0.3630434782608696,-0.36473063973063974,0.34770915976226535,0.3489371564705947,0,0.8995685005393744,-0.09088544654809717,0.34512441485071826,0.8,0.6,0.7,0.6,0.8969728305305076,0.8969728305305076,0.8974165890122785,-0.7972563897300244,-0.8977769084841519,0.9980968817587156,0.9980968817587156,0.6,-0.06950592885375494
BIK,-0.04982537800867008,-0.10345219881526813,-0.553673929576901,-0.03784713253934089,-0.27764522782953177,-0.19527300154685961,0.8995685005393744,-0.47549759176153694,-0.38023799137825237,-0.42215516338500214,-0.36849703611460216,-0.35100162397192103,0.09581456764105166,0.3417310208750016,0.06946138211382114,0.04700726870771086,0.35994318181818186,-0.5690703363914373,-0.04359537897999437,-0.427358830957965,-0.8,-0.3630434782608696,-0.36473063973063974,0.34770915976226535,0.3489371564705947,0,0.8995685005393744,-0.09088544654809717,0.34512441485071826,0.8,0.6,0.7,0.6,0.8969728305305076,0.8969728305305076,0.8974165890122785,-0.7972563897300244,-0.8977769084841519,0.9980968817587156,0.9980968817587156,0.6,-0.06950592885375494
BID,-0.05637882447665057,-0.09807699891550822,-0.5081781376518218,-0.045173546495234876,-0.23878649928644347,-0.1792391943153283,0.49911699779249447,-0.41017230776139624,-0.3528002405658869,-0.37201074787281685,-0.33617677715238686,-0.3118875242404654,0.04387336598790344,0.3201107352712006,0.0681896551724138,0.05445684090480181,0.329153605015674,-0.5385325568498653,-0.04842852102026414,-0.3839267151767152,-0.4,-0.33798076923076925,-0.3380952380952381,0.30935210319213857,0.3289103885494383,0,0.49911699779249447,0.0023269980135444735,0.3240810560119261,0.8,0.6,0.7,0.6,0.49355085034154766,0.49355085034154766,0.49415223628691984,-0.5934640803825695,-0.5949623958678396,0.5960275668981855,0.5960275668981855,0.6,-0.07721558176901673
BCLXL,0.044044950298151184,0.10747398210499279,0.5646087398373985,0.032804465572551025,0.3007205234407321,0.21282915780080996,-0.8997536945812807,0.4902102501079483,0.3966446453695584,0.43463712757830403,0.38921934825666565,0.3718381870508631,-0.12869073786862747,-0.35582290635885827,-0.07060063990692263,-0.04222162975037701,-0.3667226890756302,0.574667759156704,0.039201425095585676,0.43901887288748603,0.8,0.3691891891891892,0.37207357859531776,-0.3663128042772915,-0.3620347952079833,0,-0.8997536945812807,0.1329617607318034,-0.3586951735441759,-0.8,-0.6,-0.7,-0.6,-0.9978466803914271,-0.9978466803914271,-0.9981746249183552,0.8980193967447114,0.9984577678042525,-0.9987073857264077,-0.9987073857264077,-0.6,0.06201582352743974
BCL2,0.044044950298151184,0.10747398210499279,0.5646087398373985,0.032804465572551025,0.3007205234407321,0.21282915780080996,-0.8997536945812807,0.4902102501079483,0.3966446453695584,0.43463712757830403,0.38921934825666565,0.3718381870508631,-0.12869073786862747,-0.35582290635885827,-0.07060063990692263,-0.04222162975037701,-0.3667226890756302,0.574667759156704,0.039201425095585676,0.43901887288748603,0.8,0.3691891891891892,0.37207357859531776,-0.3663128042772915,-0.3620347952079833,0,-0.8997536945812807,0.1329617607318034,-0.3586951735441759,-0.8,-0.6,-0.7,-0.6,-0.9978466803914271,-0.9978466803914271,-0.9981746249183552,0.8980193572541151,0.8984578019700924,-0.9987073857264077,-0.9987073857264077,-0.6,0.06201582352743974
BAX,-0.0757101575242288,-0.11827614543044422,-0.5544209122182958,-0.062256463578151955,-0.2652456432553151,-0.20117332185562264,0.5960275668981855,-0.4473354283287721,-0.4067129080972315,-0.41017230776139624,-0.3908958782759824,-0.3685293945911562,0.021367283262842606,0.37233949893814755,0.08925790443057402,0.06843955889380417,0.37201074787281685,-0.6126024553842508,-0.06572809907933587,-0.42459167681354393,-0.49911699779249447,-0.3839267151767152,-0.3873260073260073,0.33515210319213856,0.38124863326436464,0,0.5960275668981855,0.030248758404742514,0.37619478590343375,0.8994774657086871,0.7,0.8,0.7,0.5858733071553672,0.5858733071553672,0.5871633020993834,-0.6868736298109488,-0.6888548689861193,0.5900816209522396,0.5900816209522396,0.7,-0.10168540232366599
BAK,-0.0757101575242288,-0.11827614543044422,-0.5544209122182958,-0.062256463578151955,-0.2652456432553151,-0.20117332185562264,0.5960275668981855,-0.4473354283287721,-0.4067129080972315,-0.41017230776139624,-0.3908958782759824,-0.3685293945911562,0.021367283262842606,0.37233949893814755,0.08925790443057402,0.06843955889380417,0.37201074787281685,-0.6126024553842508,-0.06572809907933587,-0.42459167681354393,-0.49911699779249447,-0.3839267151767152,-0.3873260073260073,0.33515210319213856,0.38124863326436464,0,0.5960275668981855,0.030248758404742514,0.37619478590343375,0.8994774657086871,0.7,0.8,0.7,0.5858733071553672,0.5858733071553672,0.5871633020993834,-0.6868736298109488,-0.6888548689861193,0.5900816209522396,0.5900816209522396,0.7,-0.10168540232366599
BAD,-0.0268719806763285,-0.08488671311115295,-0.490625,-0.018351910828025477,-0.2659264831252194,-0.18494117647058822,0.8,-0.43463712757830403,-0.3432708773634932,-0.3667226890756302,-0.33568499333822766,-0.3220336522580562,0.1418982850384388,0.29964498214139534,0.04861111111111111,0.029440443656307474,0.2885714285714286,-0.48860148897828426,-0.02369047619047619,-0.3691891891891892,-0.7,-0.28918918918918923,-0.29130434782608694,0.3265114291817988,0.3050858617884617,0,0.8,-0.15232203009207276,0.3023648983148181,0.7,0.5,0.6,0.5,0.8995136778115501,0.8995136778115501,0.8995985950827897,-0.9995398331895313,-0.9996798078847309,0.8997536945812807,0.8997536945812807,0.5,-0.03907103825136612
b_catenin_TCF4,0.9,0.9,0.8,0.9,0.8,0.9,0,0.8,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0.6,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
