l_max,network_name,modA,modB,T_network,T_AS_intra,T_AS→C,T_C→AS,T_C_intra,T_AS→E,T_E→AS,T_E_intra,T_AS→M,T_M→AS,T_M_intra,T_AS→PS,T_PS→AS,T_PS_intra,T_AS→RS,T_RS→AS,T_RS_intra,T_C→M,T_M→C,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_E→M,T_M→E,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
8,Comb_M_RS,M,RS,0.561280170185018,,,,,,,,,,0.08715694057533811,,,,,,0.5779987779237212,,,,,,,,,,,,,,,,,0.0,0.0,,
9,Comb_M_RS,M,RS,0.5612808737916286,,,,,,,,,,0.08715720173848891,,,,,,0.5779994547174956,,,,,,,,,,,,,,,,,0.0,0.0,,
10,Comb_M_RS,M,RS,0.5612809441521653,,,,,,,,,,0.08715722785475792,,,,,,0.5779995223967536,,,,,,,,,,,,,,,,,0.0,0.0,,
4,Comb_PS_RS,PS,RS,0.34992912221644934,,,,,,,,,,,,,0.42624934565667905,,,0.5665011119799487,,,,,,,,,,,,,,,,,,,0.16612803933217776,0.23819525380958279
5,Comb_PS_RS,PS,RS,0.34749121810942607,,,,,,,,,,,,,0.42541667646854914,,,0.5672324464776307,,,,,,,,,,,,,,,,,,,0.16277048858008347,0.236831951543157
6,Comb_PS_RS,PS,RS,0.3457424366153973,,,,,,,,,,,,,0.42520264091420645,,,0.5672442346761994,,,,,,,,,,,,,,,,,,,0.15971099328918842,0.23703903736047627
7,Comb_PS_RS,PS,RS,0.34572807201286393,,,,,,,,,,,,,0.4251642612215753,,,0.5672305714722123,,,,,,,,,,,,,,,,,,,0.1597045924450018,0.23705374974823812
8,Comb_PS_RS,PS,RS,0.3457252819856238,,,,,,,,,,,,,0.4251589028205557,,,0.5672271904561217,,,,,,,,,,,,,,,,,,,0.15970324815244455,0.23705406428736137
9,Comb_PS_RS,PS,RS,0.3457248918664355,,,,,,,,,,,,,0.4251582690228396,,,0.5672266640254274,,,,,,,,,,,,,,,,,,,0.15970305958049585,0.2370539699923897
10,Comb_PS_RS,PS,RS,0.34572484727506797,,,,,,,,,,,,,0.42515820351560096,,,0.5672265998186815,,,,,,,,,,,,,,,,,,,0.1597030381840531,0.23705395113703753
